Details,Translate_Details,Area,Contractor,Type_of_finding,Topic,Clean_Details,Clean_Translate_Details
รื้อนั่งร้านลืมคล้องHarnessทำงาน,"Dismantling the scaffolding, forgetting to attach the harness to work.",Olefins2,RSC,Unsafe Action,Work at height,รื้อนั่งร้านลืมคล้องHarnessทำงาน,"Dismantling the scaffolding, forgetting to attach the harness to work."
Riggerมีเสื้อสะท้อนแสงสีส้มKECแจ้งมีเบิกใช้งาน,"Rigger has orange reflective jacket, KEC informs that it is withdrawn.",HOT,Sanit B.,Unsafe Action,Lifting,Riggerมีเสื้อสะท้อนแสงสีส้มKECแจ้งมีเบิกใช้งาน,"Rigger has orange reflective jacket, KEC informs that it is withdrawn."
งานเปลี่ยนCoilHVACมีFirewatchstandbyหน้างาน,Coil HVAC replacement work. There is a Firewatchstandby in front of the event.,COLD,SAT,Unsafe Action,Hot Work,งานเปลี่ยนCoilHVACมีFirewatchstandbyหน้างาน,Coil HVAC replacement work. There is a Firewatchstandby in front of the event.
งานยกอุปกรณ์นั่งร้านเฮี๊ยบJSAมีการระบุขั้นตอนการทำงานเฮี๊ยบ,The work of lifting scaffolding equipment JSA has specified the work process.,COLD,SIS,Unsafe Action,PTW & JSA,งานยกอุปกรณ์นั่งร้านเฮี๊ยบJSAมีการระบุขั้นตอนการทำงานเฮี๊ยบ,The work of lifting scaffolding equipment JSA has specified the work process.
ทำงานรื้อถอนนั่งร้านส่งอุปกรณ์นั่งร้านมือต่อมือใช้การขนส่งใช้hookclampนั่งร้านลงมา,"Scaffold demolition work, hand-to-hand scaffolding equipment, use of transport, use hookclamp scaffolding down.",COLD,SIS,Unsafe Action,Scaffolding,ทำงานรื้อถอนนั่งร้านส่งอุปกรณ์นั่งร้านมือต่อมือใช้การขนส่งใช้hookclampนั่งร้านลงมา,"Scaffold demolition work, hand-to-hand scaffolding equipment, use of transport, use hookclamp scaffolding down."
ตรวจสอบWorkpermitSafetyleadreapprovework,Check WorkpermitSafetyleadreapprovework.,HOT,SIS,Unsafe Action,SL Performance,ตรวจสอบWorkpermitSafetyleadreapprovework,Check WorkpermitSafetyleadreapprovework.
MERfeedback  ใช้เฮี๊ยบวิธี,MERfeedback using skip method,UT,SIS,Unsafe Action,Lifting,MERfeedback  ใช้เฮี๊ยบวิธี,MERfeedback using skip method
ใช้Glycerineขั้นตอนการInspectionประเมินความเสี่ยงJSA,Use the Glycerine Inspection procedure to assess the JSA risk.,Olefins2,SIWA,Unsafe Action,PTW & JSA,ใช้Glycerineขั้นตอนการInspectionประเมินความเสี่ยงJSA,Use the Glycerine Inspection procedure to assess the JSA risk.
มีJSAงานHydrotest,There is a JSA Hydrotest job.,Olefins2,SIWA,Unsafe Action,PTW & JSA,มีJSAงานHydrotest,There is a JSA Hydrotest job.
ข้อต่อสายHoseงานSandBlastพันเทป,"Hose connector, Sandblast work, wrapped with tape",UT,SKI,Unsafe Action,Paint/ Coat/ Blast,ข้อต่อสายHoseงานSandBlastพันเทป,"Hose connector, Sandblast work, wrapped with tape"
งานขัดสนิมแนวเชื่อมทาสีJSAครอบคลุม,"Rust polishing work, welding lines, painted JSA covering",UT,SKI,Unsafe Action,PTW & JSA,งานขัดสนิมแนวเชื่อมทาสีJSAครอบคลุม,"Rust polishing work, welding lines, painted JSA covering"
ใช้GeneratorตรวจสอบมีChecklist,Use the Generator to check there is a Checklist.,HOT,SR,Unsafe Action,Electrical & Grounding,ใช้GeneratorตรวจสอบมีChecklist,Use the Generator to check there is a Checklist.
คล้องเกี่ยวhookตำแหน่ง,hook position,Olefins2,SR,Unsafe Action,Work at height,คล้องเกี่ยวhookตำแหน่ง,hook position
ผู้ปฏิบัติงานติดตั้งนั่งร้านรื้อถอนนั่งร้าน​คล้อง​SafetyHarness​ถูกวิธี​,"The worker installs the scaffolding, demolishes the scaffolding, attaches the SafetyHarness correctly.",Olefins2,SR,Unsafe Action,Work at height,ผู้ปฏิบัติงานติดตั้งนั่งร้านรื้อถอนนั่งร้าน​คล้อง​SafetyHarness​ถูกวิธี​,"The worker installs the scaffolding, demolishes the scaffolding, attaches the SafetyHarness correctly."
พนักงานรื้อนั่งร้านคล้องSafetyharness,Safety harness,Olefins2,SR,Unsafe Action,Work at height,พนักงานรื้อนั่งร้านคล้องSafetyharness,Safety harness
พบมีงานตั้งนั่งร้านลืมคล้องharness,Found a job to set up scaffolding and forget about harness,Olefins2,SR,Unsafe Action,Work at height,พบมีงานตั้งนั่งร้านลืมคล้องharness,Found a job to set up scaffolding and forget about harness
พบมีงานหุ้มFoamglassผู้ปฏิบัติงานสวม,"Found there was work to cover the foamglass, the operator wears",Olefins2,SR,Unsafe Action,PPE,พบมีงานหุ้มFoamglassผู้ปฏิบัติงานสวม,"Found there was work to cover the foamglass, the operator wears"
มีการเหยียบท่อหุ้มInsulationขณะปฏิบัติงานรื้อนั่งร้าน,There was a stepping on the insulation pipe while working on the demolition of the scaffolding.,Olefins2,SR,Unsafe Action,Work Procedure,มีการเหยียบท่อหุ้มInsulationขณะปฏิบัติงานรื้อนั่งร้าน,There was a stepping on the insulation pipe while working on the demolition of the scaffolding.
รื้อนั่งร้านอยู่ท่าทางมีความเสี่ยงพบรองเท้าSafetyมีลักษณะชำรุด,"Dismantling the scaffolding, there is a risk that the safety shoes are damaged.",Olefins2,SR,Unsafe Action,Scaffolding,รื้อนั่งร้านอยู่ท่าทางมีความเสี่ยงพบรองเท้าSafetyมีลักษณะชำรุด,"Dismantling the scaffolding, there is a risk that the safety shoes are damaged."
สวมใส่FaceShieldขณะเปลี่ยนPackingValveLineSteamSS,Equip FaceShield while replacing PackingValveLineSteamSS.,HOT,ST,Unsafe Action,Installation/ Alignment,สวมใส่FaceShieldขณะเปลี่ยนPackingValveLineSteamSS,Equip FaceShield while replacing PackingValveLineSteamSS.
ผู้ปฏิบัติงานเปลี่ยนPackingลืมสวมใส่FaceShieldป้องกันSteam,"The worker changed the packing, forgot to wear the FaceShield to protect the Steam.",HOT,ST,Unsafe Action,Installation/ Alignment,ผู้ปฏิบัติงานเปลี่ยนPackingลืมสวมใส่FaceShieldป้องกันSteam,"The worker changed the packing, forgot to wear the FaceShield to protect the Steam."
"Riggerขอบกระบะรถประครองกระบะโคลน
",Rigger pickup truck rims protecting mud pickups.,Olefins2,STATE,Unsafe Action,Transportation,"Riggerขอบกระบะรถประครองกระบะโคลน
",Rigger pickup truck rims protecting mud pickups.
สวมใส่เสื้อสะท้อนแสงครบทุกคนบังคับเครนมองไม่เห็นสับสนการให้สัญญาณมีโอกาสเกิดอันตรายได้,"Wearing reflective vests, everyone controls the crane to be invisible, confusing the signal with the potential for danger.",HOT,STP,Unsafe Action,Lifting,สวมใส่เสื้อสะท้อนแสงครบทุกคนบังคับเครนมองไม่เห็นสับสนการให้สัญญาณมีโอกาสเกิดอันตรายได้,"Wearing reflective vests, everyone controls the crane to be invisible, confusing the signal with the potential for danger."
